player_1	score_1	score_2	player_2	replay
Thedankestmemes	2	1	NECROLUST	
Martinez.cl	2	0	Xdddlololo	
R0nsv41n	2	0	LukiFox	
pipenhocongranadina	2	1	elsean	
Donferwea	2	0	janomaru	
Atma_	2	0	Necrodaemon	
Diplosaurio	2	1	gentlemano	
ChikoPs2	2	0	Thedankestmemes	
Elcarnaza1	2	0	Womseek	
Younghou	2	0	Mewtario	
Octaseco	2	0	Chokoman	
Kmion33	2	0	Martinez.cl	
Dainoth	2	0	powup1	
Cald3ron	2	0	R0nsv41n	
LordMasterSex	2	0	i_tried	
SOLIDO	2	0	pipenhocongranadina	
Mr Olympia	2	0	EDuranRyu	
Donferwea	2	1	Kaisark	
Sir.Weon	2	1	Jacintogod	
Daewoo	2	0	[javi]	
Atma_	2	0	Diplosaurio	
ChikoPs2	2	1	Elcarnaza1	
Younghou	2	1	Octaseco	
Kmion33	2	0	Dainoth	
Cald3ron	2	1	LordMasterSex	
SOLIDO	2	0	Mr Olympia	
Sir.Weon	2	0	Donferwea	
redda	2	0	Daewoo	
Atma_	2	0	ChikoPs2	
Kmion33	2	1	Younghou	
Cald3ron	2	1	SOLIDO	
redda	2	0	Sir.Weon	
Atma_	2	1	Kmion33	
Cald3ron	2	1	redda	
Cald3ron	3	0	Atma_	
Jacintogod	2	0	NECROLUST	
i_tried	2	0	Xdddlololo	
powup1	2	1	LukiFox	
Chokoman	2	1	elsean	
Womseek	2	0	janomaru	
Kaisark	2	0	Jacintogod	
EDuranRyu	2	0	pipenhocongranadina	
R0nsv41n	2	0	i_tried	
powup1	2	1	Martinez.cl	
Chokoman	2	0	Mewtario	
Womseek	2	0	Thedankestmemes	
gentlemano	2	0	Necrodaemon	
Dainoth	2	1	[javi]	
Kaisark	2	0	Octaseco	
EDuranRyu	2	1	Elcarnaza1	
R0nsv41n	2	0	Diplosaurio	
powup1	2	1	Daewoo	
Donferwea	2	0	Chokoman	
Womseek	2	1	Mr Olympia	
LordMasterSex	2	1	gentlemano	
Dainoth	2	1	Kaisark	
EDuranRyu	2	0	R0nsv41n	
powup1	2	0	Donferwea	
LordMasterSex	2	1	Womseek	
SOLIDO	2	1	Dainoth	
EDuranRyu	2	0	Sir.Weon	
ChikoPs2	2	1	powup1	
Younghou	2	0	LordMasterSex	
SOLIDO	2	0	EDuranRyu	
Younghou	2	0	ChikoPs2	
SOLIDO	2	0	Kmion33	
Younghou	2	0	redda	
SOLIDO	2	0	Younghou	
Atma_	3	0	SOLIDO	
Atma_	3	2	Cald3ron	
Atma_	3	1	Cald3ron	
