player_1	score_1	score_2	player_2	replay
Chikops2	3	1	r0nsv41n
atma_	3	2	Sir.Weon
LordMasterSex	3	1	Elsean
Elcarnaza1	3	0	Jindra
r0nsv41n	3	0	Pipenhocongranadina
LordMasterSex	3	2	Chikops2
Sir.Weon	3	0	Elsean
atma_	3	0	r0nsv41n
Jindra	3	0	Pipenhocongranadina
Elcarnaza1	3	0	LordMasterSex
atma_	3	0	Chikops2
Jindra	3	0	Elsean
Elcarnaza1	3	0	Pipenhocongranadina
Sir.Weon	3	0	r0nsv41n
LordMasterSex	3	2	Pipenhocongranadina
Elcarnaza1	3	0	Elsean
atma_	3	0	Jindra
Sir.Weon	3	1	Chikops2
Pipenhocongranadina	3	1	Elsean
Elcarnaza1	3	1	r0nsv41n
atma_	3	0	LordMasterSex
Chikops2	3	0	Jindra
Sir.Weon	3	0	LordMasterSex
r0nsv41n	3	0	Elsean
Sir.Weon	3	0	Pipenhocongranadina
atma_	3	1	Elcarnaza1
Chikops2	3	0	Elsean
r0nsv41n	3	2	LordMasterSex
Sir.Weon	3	0	Jindra
Chikops2	3	0	Elcarnaza1
Jindra	3	1	r0nsv41n
atma_	3	0	Elsean
Sir.Weon	3	1	Elcarnaza1
Chikops2	3	0	Pipenhocongranadina
Jindra	3	1	LordMasterSex
atma_	3	0	Pipenhocongranadina
Metalero	3	0	Perrito38
Younghou	3	0	Donferwea
wirox	3	0	Nosequeweaponer
Kmion33	3	0	Perrito38
wirox	3	2	Metalero
Younghou	3	0	Nosequeweaponer
Perrito38	3	2	Donferwea
Younghou	3	2	Kmion33
wirox	3	0	Donferwea
Metalero	3	0	Nosequeweaponer
Younghou	3	0	Perrito38
Kmion33	3	0	Donferwea
Younghou	3	1	Metalero
Nosequeweaponer	3	1	Perrito38
Kmion33	3	1	wirox
Metalero	3	0	Donferwea
Kmion33	3	0	Nosequeweaponer
Nosequeweaponer	3	0	Donferwea
Younghou	3	2	wirox
wirox	3	1	Perrito38
Metalero	3	2	Kmion33
powup1	3	1	diplosaurio
gentlemano	3	0	i_tried
Zorzal	3	2	jacintogod
panta	3	0	Mewtario
cald3ron	3	0	diplosaurio
gentlemano	3	0	Zorzal
panta	3	1	i_tried
powup1	3	0	Mewtario
cald3ron	3	1	powup1
jacintogod	3	0	Mewtario
Zorzal	3	2	i_tried
cald3ron	3	1	panta
gentlemano	3	1	diplosaurio
diplosaurio	3	2	Zorzal
jacintogod	3	0	i_tried
panta	3	1	gentlemano
cald3ron	3	0	Mewtario
powup1	3	2	Zorzal
panta	3	1	diplosaurio
cald3ron	3	0	jacintogod
i_tried	3	1	Mewtario
powup1	3	2	gentlemano
panta	3	2	Zorzal
diplosaurio	3	1	jacintogod
gentlemano	3	0	Mewtario
powup1	3	0	i_tried
panta	3	1	jacintogod
diplosaurio	3	0	Mewtario
jacintogod	3	1	powup1
cald3ron	3	0	Zorzal
diplosaurio	3	1	i_tried
cald3ron	3	0	gentlemano
Zorzal	3	0	Mewtario
powup1	3	2	panta
cald3ron	3	0	i_tried
jacintogod	3	1	gentlemano
chokoman	3	0	Mr Olympia
daewoo	3	0	rompehuesos
[SEBA]	3	0	Octaseco
Yash	3	0	Lowap
daewoo	3	0	KomanDamage
[SEBA]	3	0	Mr Olympia
rompehuesos	3	0	Lowap
Octaseco	3	1	chokoman
Yash	3	0	Mr Olympia
KomanDamage	3	2	Lowap
[SEBA]	3	0	chokoman
Octaseco	3	2	daewoo
rompehuesos	3	0	KomanDamage
[SEBA]	3	1	Yash
chokoman	3	1	Lowap
daewoo	3	2	Mr Olympia
[SEBA]	3	0	KomanDamage
Octaseco	3	0	Lowap
Yash	3	0	rompehuesos
daewoo	3	0	chokoman
rompehuesos	3	1	Mr Olympia
Octaseco	3	2	Yash
[SEBA]	3	0	Lowap
Yash	3	0	KomanDamage
Mr Olympia	3	1	Lowap
rompehuesos	3	1	Octaseco
chokoman	3	1	KomanDamage
daewoo	3	0	Yash
[SEBA]	3	0	rompehuesos
daewoo	3	0	Lowap
Octaseco	3	0	KomanDamage
Octaseco	3	1	Mr Olympia
Yash	3	0	chokoman
[SEBA]	3	2	daewoo
chokoman	3	0	rompehuesos
Mr Olympia	3	0	KomanDamage
wirox	3	2	perrito38
Diplosaurio	3	2	Zorzal
Elcarnaza1	3	0	Nosequeweaponer
Jindra	3	1	gentlemano
wirox	3	1	Diplosaurio
Elcarnaza1	3	0	perrito38
Zorzal	3	0	Nosequeweaponer
gentlemano	3	2	perrito38
wirox	3	2	Jindra
gentlemano	3	2	Zorzal
Elcarnaza1	3	2	Diplosaurio
Jindra	3	1	Nosequeweaponer
Diplosaurio	3	0	perrito38
wirox	3	0	gentlemano
Elcarnaza1	3	1	Zorzal
Diplosaurio	3	1	Nosequeweaponer
Jindra	3	1	perrito38
Elcarnaza1	3	0	wirox
gentlemano	3	0	Nosequeweaponer
wirox	3	0	Zorzal
Jindra	3	1	Diplosaurio
Zorzal	3	2	perrito38
wirox	3	0	Nosequeweaponer
Elcarnaza1	3	1	gentlemano
Zorzal	3	0	Jindra
Diplosaurio	3	0	gentlemano
Nosequeweaponer	3	2	perrito38
Jindra	3	2	Elcarnaza1
