player_1	score_1	score_2	player_2	replay
comicnauta	5	1	lionheartxiii	https://replay.fightcade.com/fbneo/sfiii3nr1/1692728981301-3074
gentlemano	5	1	xdddlololo	
sir.weon	5	1	xdddlololo	https://replay.fightcade.com/fbneo/sfiii3nr1/1692734582699-5444
perrito38	5	0	luxfercl	
sir.weon	5	0	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1692743046311-5264
redeker87	5	3	pipenhocongranadina	https://replay.fightcade.com/fbneo/sfiii3nr1/1692729923609-9890
gentlemano	5	1	pipenhocongranadina	https://replay.fightcade.com/fbneo/sfiii3nr1/1692731254911-2751
pipenhocongranadina	5	1	cristof von roe	https://replay.fightcade.com/fbneo/sfiii3nr1/1692744105614-4750
perrito38	5	4	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1692744916043-1538
wirox	5	1	perrito38	https://replay.fightcade.com/fbneo/sfiii3nr1/1692736774376-5677
wirox	5	4	sir.weon	https://replay.fightcade.com/fbneo/sfiii3nr1/1692738504254-4385
wirox	5	0	mewtario	https://replay.fightcade.com/fbneo/sfiii3nr1/1692742064182-8003
wirox	5	0	sanmi	
vinsfield	5	0	xdddlololo	
redeker87	5	4	xdddlololo	https://replay.fightcade.com/fbneo/sfiii3nr1/1692745897279-4378
alvarinho	5	4	cristof von roe	https://replay.fightcade.com/fbneo/sfiii3nr1/1692745284283-1048
daewoo	5	3	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1692747248927-8485
eduranryu	5	1	vinsfield	
xdddlololo	5	2	mewtario	
eduranryu	5	0	vicente4c	
vinsfield	5	0	yagger00	
fitoxnorris	5	1	xno	
mewtario	5	2	cristof von roe	https://replay.fightcade.com/fbneo/sfiii3nr1/1692750886452-4433
sir.weon	5	3	eduranryu	https://replay.fightcade.com/fbneo/sfiii3nr1/1692752566835-1874
sir.weon	5	0	fluox_etina	https://replay.fightcade.com/fbneo/sfiii3nr1/1692752021927-2048
fluox_etina	5	0	redeker87	
comicnauta	5	0	fluox_etina	https://replay.fightcade.com/fbneo/sfiii3nr1/1692753675325-3156
comicnauta	5	4	fitoxnorris	https://replay.fightcade.com/fbneo/sfiii3nr1/1692751566008-3684
comicnauta	5	1	xno	https://replay.fightcade.com/fbneo/sfiii3nr1/1692752949311-7998
xno	5	1	redeker87	https://replay.fightcade.com/fbneo/sfiii3nr1/1692753679055-8830
wirox	5	2	gentlemano	https://replay.fightcade.com/fbneo/sfiii3nr1/1692758054660-4604
fitoxnorris	5	2	cristof von roe	
[seba]	5	0	wirox	
wirox	5	3	fitoxnorris	https://replay.fightcade.com/fbneo/sfiii3nr1/1692759857088-1246
cristof von roe	5	4	ariel_tapia1984	
wirox	5	1	ariel_tapia1984	
gentlemano	5	1	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1692759393703-4015
wirox	5	0	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1692761926606-1219
solido	5	0	rwk	https://replay.fightcade.com/fbneo/sfiii3nr1/1692761116110-2992
sir.weon	5	3	rwk	https://replay.fightcade.com/fbneo/sfiii3nr1/1692762081906-9334
[seba]	5	0	ariel_tapia1984	
wirox	5	0	durazno sangrando	https://replay.fightcade.com/fbneo/sfiii3nr1/1692766641507-8862
wirox	5	4	redda	https://replay.fightcade.com/fbneo/sfiii3nr1/1692767880131-7366
wirox	5	2	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1692769977088-3560
redda	5	1	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1692766916629-8534
durazno sangrando	5	1	lowap	
[seba]	5	0	sir.weon	
[seba]	5	1	solido	https://replay.fightcade.com/fbneo/sfiii3nr1/1692762317662-9886
comicnauta	5	0	sanmi	https://replay.fightcade.com/fbneo/sfiii3nr1/1692808550420-3712
comicnauta	5	1	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1692810733949-1637
wirox	5	0	abusamadres	https://replay.fightcade.com/fbneo/sfiii3nr1/1692819152952-8135
durazno sangrando	5	2	abusamadres	https://replay.fightcade.com/fbneo/sfiii3nr1/1692820143460-3585
durazno sangrando	5	4	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1692820143460-3585
samusaranx	5	0	thiagongg	
samusaranx	5	0	sanmi	
wirox	5	1	samusaranx	https://replay.fightcade.com/fbneo/sfiii3nr1/1692828568927-6077
yasuoh0	5	0	fulgore	https://replay.fightcade.com/fbneo/sfiii3nr1/1692828212682-6888
samusaranx	5	2	yasuoh0	
daewoo	5	1	fulgore	https://replay.fightcade.com/fbneo/sfiii3nr1/1692830227539-6403
daewoo	5	0	gouken_iqq	
daewoo	5	2	wirox	https://replay.fightcade.com/fbneo/sfiii3nr1/1692831767135-3737
gouken_iqq	5	0	fulgore	https://replay.fightcade.com/fbneo/sfiii3nr1/1692831829376-8481
gouken_iqq	5	0	xdddlololo	https://replay.fightcade.com/fbneo/sfiii3nr1/1692832453335-2155
wirox	5	0	vicente4c	https://replay.fightcade.com/fbneo/sfiii3nr1/1692832894759-8502
eduranryu	5	0	i_tried	
yasuoh0	5	0	xdddlololo	
yasuoh0	5	1	i_tried	
xdddlololo	5	2	unknowz	
yasuoh0	5	4	gouken_iqq	https://replay.fightcade.com/fbneo/sfiii3nr1/1692837043852-6808
wirox	5	0	donferwea	https://replay.fightcade.com/fbneo/sfiii3nr1/1692838252864-8248
donferwea	5	1	xdddlololo	https://replay.fightcade.com/fbneo/sfiii3nr1/1692839164705-1147
i_tried	5	1	mewtario	https://replay.fightcade.com/fbneo/sfiii3nr1/1692842181299-2814
fluox_etina	5	0	gouken_iqq	https://replay.fightcade.com/fbneo/sfiii3nr1/1692838113723-1034
durazno sangrando	5	0	eltiomuffin	https://replay.fightcade.com/fbneo/sfiii3nr1/1692844746022-2185
solido	5	0	eltiomuffin	
solido	5	0	lowap	
wirox	5	0	eltiomuffin	https://replay.fightcade.com/fbneo/sfiii3nr1/1692844746022-2185
wirox	5	4	solido	https://replay.fightcade.com/fbneo/sfiii3nr1/1692848319288-2409
daewoo	5	2	solido	
powup1	5	0	lowap	
solido	5	0	_onslaught	
sanmi	5	2	eltiomuffin	https://replay.fightcade.com/fbneo/sfiii3nr1/1692908789694-4208
i_tried	5	3	eltiomuffin	https://replay.fightcade.com/fbneo/sfiii3nr1/1692909963731-3705
fulgore	5	3	mewtario	https://replay.fightcade.com/fbneo/sfiii3nr1/1692922225629-8044
elcarnaza1	5	0	xdddlololo	
sanmi	5	4	unmaker	https://replay.fightcade.com/fbneo/sfiii3nr1/1692922565858-1011
diplosaurio	5	3	xdddlololo	
xno	5	2	sanmi	https://replay.fightcade.com/fbneo/sfiii3nr1/1692923909269-4444
_onslaught	5	2	fluox_etina	https://replay.fightcade.com/fbneo/sfiii3nr1/1692924946682-5195
unmaker	5	2	fulgore	
fluox_etina	5	1	sanmi	https://replay.fightcade.com/fbneo/sfiii3nr1/1692925911726-6842
_onslaught	5	0	xno	
mewtario	5	1	tomaselninjapro	https://replay.fightcade.com/fbneo/sfiii3nr1/1692926935586-7612
xno	5	2	fulgore	https://replay.fightcade.com/fbneo/sfiii3nr1/1692929003840-6498
elcarnaza1	5	4	sir.weon	https://replay.fightcade.com/fbneo/sfiii3nr1/1692928991967-2967
emogay	5	1	xdddlololo	
metalero	5	4	comicnauta	
abusamadres	5	3	redeker87	
fluox_etina	5	1	xno	https://replay.fightcade.com/fbneo/sfiii3nr1/1692930027973-7841
solido	5	1	i_tried	
durazno sangrando	5	0	mewtario	https://replay.fightcade.com/fbneo/sfiii3nr1/1692936983613-9390
solido	5	0	mewtario	
elcarnaza1	5	1	durazno sangrando	
echalemasbebida	5	2	durazno sangrando	https://replay.fightcade.com/fbneo/sfiii3nr1/1692939107537-2122
donferwea	5	3	sanmi	https://replay.fightcade.com/fbneo/sfiii3nr1/1692986393483-1270
alkeindem	5	2	luxfercl	
i_tried	5	2	alkeindem	
daewoo	5	4	metalero	
alkeindem	5	0	eltiomuffin	
daewoo	5	0	eltiomuffin	
i_tried	5	1	tomaselninjapro	https://replay.fightcade.com/fbneo/sfiii3nr1/1693026218428-5906
i_tried	5	2	cristof von roe	https://replay.fightcade.com/fbneo/sfiii3nr1/1693020688749-2931
comicnauta	5	0	redeker87	https://replay.fightcade.com/fbneo/sfiii3nr1/1693055551335-8220
vinsfield	5	0	redeker87	
redeker87	5	3	yagger00	https://replay.fightcade.com/fbneo/sfiii3nr1/1692748518925-2370
redeker87	5	1	sanmi	https://replay.fightcade.com/fbneo/sfiii3nr1/1692807309653-2185
redeker87	5	1	alvarinho	https://replay.fightcade.com/fbneo/sfiii3nr1/1693010218734-4687
franciscois	5	0	lowap	
comicnauta	5	0	lowap	https://replay.fightcade.com/fbneo/sfiii3nr1/1693080499749-3406
franciscois	5	3	redda	
franciscois	5	3	wirox	
mr olympia	5	0	tomaselninjapro	
wirox	5	0	mr olympia	
solido	5	1	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1693090541531-8986
comicnauta	5	3	ttvdonjavierlive	
eduranryu	5	0	redeker87	
eduranryu	5	4	echalemasbebida	
solido	5	0	ttvdonjavierlive	
solido	5	0	tomaselninjapro	
echalemasbebida	5	1	metalero	
echalemasbebida	5	0	mr olympia	
solido	5	0	echalemasbebida	
echalemasbebida	5	0	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1693100199642-5537
powup1	5	2	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1693102140167-1422
daewoo	5	0	lowap	
daewoo	5	0	sir.weon	https://replay.fightcade.com/fbneo/sfiii3nr1/1693101600674-8536
lowap	5	1	pipenhocongranadina	https://replay.fightcade.com/fbneo/sfiii3nr1/1693102588227-4904
fluox_etina	5	1	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1693103883121-9830
sir.weon	5	4	echalemasbebida	https://replay.fightcade.com/fbneo/sfiii3nr1/1693095522080-8453
echalemasbebida	5	2	gentlemano	
echalemasbebida	5	0	lowap	
gentlemano	5	4	fluox_etina	https://replay.fightcade.com/fbneo/sfiii3nr1/1693104842310-1835
lowap	5	0	tomaselninjapro	https://replay.fightcade.com/fbneo/sfiii3nr1/1693158899909-9112
octaseco	5	1	durazno sangrando	
lowap	5	2	luxfercl	https://replay.fightcade.com/fbneo/sfiii3nr1/1693168949754-5973
perrito38	5	0	tomaselninjapro	
redda	5	0	perrito38	
perrito38	5	0	vicente4c	
perrito38	5	0	fitoxnorris	
sir.weon	5	0	perrito38	
[seba]	5	0	perrito38	
perrito38	5	1	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1693186108769-9927
metalero	5	1	perrito38	
[seba]	5	1	eduranryu	
solido	5	0	eduranryu	
octaseco	5	3	diplosaurio	
octaseco	5	0	thiagongg	
octaseco	5	2	abusamadres	
xdddlololo	5	1	tomaselninjapro	
thiagongg	5	0	crystowizard	https://replay.fightcade.com/fbneo/sfiii3nr1/1693175749750-3327
thiagongg	5	3	alvarinho	https://replay.fightcade.com/fbneo/sfiii3nr1/1693177042178-8984
abusamadres	5	0	alvarinho	
abusamadres	5	0	vicente4c	https://replay.fightcade.com/fbneo/sfiii3nr1/1693520855082-7248
diplosaurio	5	0	tomaselninjapro	
fitoxnorris	5	3	diplosaurio	https://replay.fightcade.com/fbneo/sfiii3nr1/1693176764206-5520
diplosaurio	5	1	sir.weon	
unknowz	5	0	vicente4c	
fitoxnorris	5	2	redeker87	https://replay.fightcade.com/fbneo/sfiii3nr1/1693179626815-7534
redda	5	4	daewoo	
daewoo	5	1	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1693179035273-6322
[seba]	5	0	daewoo	
alvarinho	5	3	vicente4c	https://replay.fightcade.com/fbneo/sfiii3nr1/1693180998888-5577
metalero	5	0	alvarinho	
comicnauta	5	0	thiagongg	https://replay.fightcade.com/fbneo/sfiii3nr1/1693180371044-8748
comicnauta	5	1	ariel_tapia1984	https://replay.fightcade.com/fbneo/sfiii3nr1/1693181610263-6065
comicnauta	5	0	mewtario	https://replay.fightcade.com/fbneo/sfiii3nr1/1693182554096-1622
[seba]	5	1	comicnauta	https://replay.fightcade.com/fbneo/sfiii3nr1/1693184171312-6590
redda	5	0	fitoxnorris	
redda	5	0	unmaker	
redda	5	0	crystowizard	
redda	5	0	mewtario	https://replay.fightcade.com/fbneo/sfiii3nr1/1693179513778-1722
redda	5	4	sir.weon	
redda	5	0	redeker87	
redda	5	0	ariel_tapia1984	
[seba]	5	3	redda	
redda	5	0	alvarinho	
redda	5	2	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1693185136129-9576
mewtario	5	3	thiagongg	https://replay.fightcade.com/fbneo/sfiii3nr1/1693178270416-5614
mewtario	5	0	vicente4c	https://replay.fightcade.com/fbneo/sfiii3nr1/1693180227237-6014
sir.weon	5	2	mewtario	https://replay.fightcade.com/fbneo/sfiii3nr1/1693183249056-1697
redeker87	5	4	mewtario	https://replay.fightcade.com/fbneo/sfiii3nr1/1693184083343-4978
tomaselninjapro	5	1	vicente4c	https://replay.fightcade.com/fbneo/sfiii3nr1/1693176261547-2055
sir.weon	5	2	tomaselninjapro	
i_tried	5	0	alvarinho	https://replay.fightcade.com/fbneo/sfiii3nr1/1693178136054-7978
[seba]	5	0	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1693181915917-5939
i_tried	5	0	vicente4c	https://replay.fightcade.com/fbneo/sfiii3nr1/1693182401593-3160
i_tried	5	3	redeker87	https://replay.fightcade.com/fbneo/sfiii3nr1/1693183008131-6790
i_tried	5	2	ariel_tapia1984	https://replay.fightcade.com/fbneo/sfiii3nr1/1693184159034-5275
[seba]	5	0	fitoxnorris	
[seba]	5	0	metalero	
solido	5	3	metalero	
perrito38	5	4	eduranryu	
metalero	5	0	xdddlololo	
sir.weon	5	1	metalero	
metalero	5	1	redda	
ariel_tapia1984	5	0	luxfercl	
sir.weon	5	1	yasuoh0	
alvarinho	5	2	crystowizard	
alvarinho	5	3	luxfercl	
unknowz	5	2	thiagongg	
redeker87	5	2	unmaker	https://replay.fightcade.com/fbneo/sfiii3nr1/1693177755579-1032
redeker87	5	0	crystowizard	https://replay.fightcade.com/fbneo/sfiii3nr1/1693180567232-1975
sir.weon	5	1	xno	https://replay.fightcade.com/fbneo/sfiii3nr1/1692751408608-3810
sir.weon	5	1	ariel_tapia1984	
sir.weon	5	3	i_tried	https://replay.fightcade.com/fbneo/sfiii3nr1/1692768590282-2201
sir.weon	5	0	redeker87	https://replay.fightcade.com/fbneo/sfiii3nr1/1693095522080-8453
sir.weon	5	0	lowap	https://replay.fightcade.com/fbneo/sfiii3nr1/1693095522080-8453
sir.weon	5	2	solido	https://replay.fightcade.com/fbneo/sfiii3nr1/1693103206587-9684
franciscois	5	0	tomaselninjapro	
gentlemano	5	3	metalero	https://replay.fightcade.com/fbneo/sfiii3nr1/1693260259035-5584
gentlemano	5	0	lowap	
gentlemano	5	0	lionheartxiii	
solido	5	2	perrito38	
gentlemano	5	1	ariel_tapia1984	https://replay.fightcade.com/fbneo/sfiii3nr1/1693276179235-1674
_onslaught	5	0	cristof von roe	
donferwea	5	3	ariel_tapia1984	https://replay.fightcade.com/fbneo/sfiii3nr1/1693278224783-2261
gentlemano	5	0	cristof von roe	https://replay.fightcade.com/fbneo/sfiii3nr1/1693279140554-2003
pipenhocongranadina	5	0	krnz	https://replay.fightcade.com/fbneo/sfiii3nr1/1693346226312-3035
lowap	5	2	krnz	https://replay.fightcade.com/fbneo/sfiii3nr1/1693346928591-3287
wirox	5	0	lowap	
elcarnaza1	5	1	wirox	
wirox	5	2	metalero	
solido	5	0	vicente4c	
daewoo	5	0	xno	
wirox	5	1	echalemasbebida	https://replay.fightcade.com/fbneo/sfiii3nr1/1693357549525-6539
solido	5	0	donferwea	
solido	5	0	vinsfield	
daewoo	5	4	echalemasbebida	
wirox	5	0	fluox_etina	
wirox	5	0	cristof von roe	https://replay.fightcade.com/fbneo/sfiii3nr1/1693360452569-2243
daewoo	5	1	perrito38	
redda	5	1	echalemasbebida	
[seba]	5	0	cristof von roe	
[seba]	5	0	echalemasbebida	
elcarnaza1	5	0	redda	
echalemasbebida	5	3	perrito38	
fluox_etina	5	0	luxfercl	https://replay.fightcade.com/fbneo/sfiii3nr1/1693362421300-8601
elcarnaza1	5	0	cristof von roe	
_onslaught	5	0	sanmi	
echalemasbebida	5	2	elcarnaza1	
echalemasbebida	5	1	pipenhocongranadina	
elcarnaza1	5	0	pipenhocongranadina	
cristof von roe	5	1	crystowizard	https://replay.fightcade.com/fbneo/sfiii3nr1/1693365688287-6264
pipenhocongranadina	5	0	crystowizard	https://replay.fightcade.com/fbneo/sfiii3nr1/1693366397901-4672
wirox	5	0	pipenhocongranadina	https://replay.fightcade.com/fbneo/sfiii3nr1/1693366897956-6063
durazno sangrando	5	2	_onslaught	https://replay.fightcade.com/fbneo/sfiii3nr1/1693367931540-6928
ppx_iqq	5	0	cristof von roe	
i_tried	5	0	luxfercl	https://replay.fightcade.com/fbneo/sfiii3nr1/1693369779556-9029
